City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,manggar,-2.8833,108.2667,30.22,57,92,5.66,ID,1698379297
279,hasaki,35.7333,140.8333,22.22,53,5,4.57,JP,1698379297
280,andovoranto,-18.95,49.1,25.48,82,73,1.18,MG,1698379298
281,tailai,46.3833,123.4,10.22,17,6,2.44,CN,1698379298
282,el nido,11.1858,119.3956,29.46,71,96,1.84,PH,1698379298
283,siwa oasis,29.2041,25.5195,21.98,42,0,1.6,EG,1698379299
284,hermanus,-34.4187,19.2345,15.78,81,100,3.86,ZA,1698379299
285,napoleon,41.3923,-84.1252,19.52,62,92,6.09,US,1698379299
286,calabozo,8.9242,-67.4293,24.82,88,87,1.79,VE,1698379300
287,cidreira,-30.1811,-50.2056,15.74,77,0,4.06,BR,1698379300
288,caleta de carquin,-11.0925,-77.6267,18.87,85,95,4.34,PE,1698379301
289,rawson,-43.3002,-65.1023,13.68,46,78,6.62,AR,1698379261
290,biltine,14.5333,20.9167,27.38,21,80,3.47,TD,1698379301
291,quellon,-43.1167,-73.6167,9.52,80,100,6.27,CL,1698379302
292,dudinka,69.4058,86.1778,-12.96,99,44,1.34,RU,1698379183
293,boromo,11.75,-2.9333,27.02,48,100,1.07,BF,1698379305
294,brookings,44.3114,-96.7984,4.93,97,100,2.57,US,1698379306
295,ndioum,16.5129,-14.6471,29.94,19,60,5.03,SN,1698379306
296,kapa'a,22.0752,-159.319,23.94,77,100,0.45,US,1698379307
297,nadi,-17.8,177.4167,29.0,65,75,6.69,FJ,1698379307
298,usinsk,65.9939,57.5281,-13.29,97,41,3.58,RU,1698379307
299,mejit,10.2753,170.8646,28.63,74,48,4.77,MH,1698379307
300,goondiwindi,-28.55,150.3167,21.44,40,35,8.01,AU,1698379308
301,san felice sul panaro,44.8332,11.1426,17.45,81,100,2.1,IT,1698379309
302,neiafu,-18.65,-173.9833,26.38,65,75,5.14,TO,1698379309
303,kemin,42.7846,75.6892,8.48,90,100,0.67,KG,1698379310
304,naze,28.3667,129.4833,24.51,51,63,5.12,JP,1698379310
305,fort-shevchenko,44.5086,50.263,14.65,82,95,6.71,KZ,1698379311
306,saint-philippe,-21.3585,55.7679,26.77,77,69,2.4,RE,1698379311
307,remire-montjoly,4.9167,-52.2667,25.02,94,0,1.03,GF,1698379312
308,belyy yar,53.6039,91.3903,3.94,48,0,9.0,RU,1698379312
309,antofagasta,-23.65,-70.4,16.6,80,24,1.2,CL,1698379312
310,natal,-5.795,-35.2094,26.12,89,20,2.06,BR,1698379127
311,wewak,-3.5534,143.6268,27.24,76,100,2.5,PG,1698379313
312,trapani,37.8333,12.6667,18.83,90,78,3.28,IT,1698379313
313,udachny,66.4167,112.4,-9.75,85,100,1.77,RU,1698379314
314,hohhot,40.8106,111.6522,14.16,19,0,1.0,CN,1698379314
315,nykobing sjaelland,55.9249,11.6711,5.62,84,100,6.85,DK,1698379314
316,masterton,-40.9597,175.6575,6.1,97,51,3.46,NZ,1698379314
317,tongouson,5.0214,120.1328,29.31,67,9,2.08,PH,1698379315
318,planeta rica,8.4147,-75.5883,23.16,92,100,4.97,CO,1698379315
319,fereydunshahr,32.941,50.121,7.67,55,8,1.44,IR,1698379316
320,sihanoukville,10.6093,103.5296,30.97,79,40,2.57,KH,1698379316
321,geraldton,-28.7667,114.6,24.23,33,1,7.72,AU,1698379316
322,ipora,-16.4419,-51.1178,23.13,80,100,0.75,BR,1698379317
323,mpika,-11.8343,31.4529,19.32,66,23,2.65,ZM,1698379317
324,happy valley-goose bay,53.3168,-60.3315,0.17,69,20,4.63,CA,1698379317
325,uturoa,-16.7333,-151.4333,24.03,90,100,4.41,PF,1698379318
326,srandakan,-7.9386,110.2506,30.58,58,36,5.27,ID,1698379318
327,beroroha,-21.6667,45.1667,26.36,49,0,1.09,MG,1698379318
328,trevelin,-43.0858,-71.4639,10.71,90,98,2.73,AR,1698379319
329,vedea,43.7833,25.7833,16.99,62,97,2.73,RO,1698379319
330,severobaykal'sk,55.65,109.3167,1.95,71,100,1.67,RU,1698379319
331,arawa,-6.2132,155.5367,27.68,80,97,1.75,PG,1698379320
332,santyoku,37.4406,129.1708,14.39,80,96,6.13,KR,1698379320
333,palmer,42.1584,-72.3287,15.59,82,75,1.54,US,1698379203
334,sainte-anne-des-monts,49.124,-66.4924,8.93,71,100,5.14,CA,1698379321
335,muang phonsavan,19.45,103.2167,23.35,85,60,0.2,LA,1698379321
336,alo,7.4178,6.7371,23.06,97,22,1.57,NG,1698379321
337,bhadaur,30.4833,75.3167,27.31,24,1,0.59,IN,1698379322
338,la'ie,21.6477,-157.9253,26.66,74,19,1.74,US,1698379322
339,villa gesell,-37.2639,-56.973,14.17,57,0,6.77,AR,1698379323
340,severo-yeniseyskiy,60.3725,93.0408,-2.46,87,100,8.49,RU,1698379323
341,beau vallon,-20.4189,57.6953,23.13,94,75,1.54,MU,1698379324
342,moengo,5.6167,-54.4,24.55,88,89,2.01,SR,1698379325
343,redwood falls,44.5394,-95.1169,7.97,93,100,6.69,US,1698379326
344,dalaba,10.7,-12.25,17.16,78,100,0.76,GN,1698379326
345,lincheng,19.9078,109.6858,27.94,78,58,3.25,CN,1698379326
346,trinidad,-14.8333,-64.9,29.18,55,83,2.67,BO,1698379327
347,mount isa,-20.7333,139.5,29.87,8,40,5.66,AU,1698379327
348,stornoway,58.2093,-6.3865,10.58,89,20,7.2,GB,1698379327
349,egilsstadir,65.2653,-14.3948,1.95,100,75,2.06,IS,1698379328
350,kyenjojo,0.6328,30.6214,16.94,99,100,1.19,UG,1698379328
351,san rafael del yuma,18.4299,-68.6739,25.11,84,90,5.12,DO,1698379328
352,muzaffarabad,34.37,73.4711,23.31,35,3,0.71,PK,1698379271
353,al jawf,29.5,38.75,21.94,37,19,4.03,SA,1698379330
354,howrah,22.5892,88.3103,28.0,74,75,2.06,IN,1698379330
355,fada,9.5667,8.3,18.99,91,26,1.04,NG,1698379330
356,bardai,11.65,7.2333,21.03,34,91,3.37,NG,1698379331
357,mitu,1.1983,-70.1733,25.2,83,97,1.24,CO,1698379331
358,huanggang,23.677,116.9996,25.94,77,92,2.41,CN,1698379331
359,palma soriano,20.2172,-75.9989,20.46,88,0,0.67,CU,1698379332
360,sorong,-0.8833,131.25,30.32,59,100,6.21,ID,1698379332
361,hwangju-up,38.6703,125.7761,16.52,49,0,3.07,KP,1698379332
362,changping,40.2186,116.2197,17.8,16,0,1.07,CN,1698379333
363,tortoli,39.9256,9.6572,21.8,76,100,5.52,IT,1698379333
364,rio claro,-22.4114,-47.5614,22.44,50,100,1.47,BR,1698379334
